L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
600,0.8763,0.8793,0.8793,1.074,9.5588,0.6842,0.6051,0.5952,0.5952,italian_poetree,kn,2000,124,w30
300,0.7791,0.7821,0.7821,1.3806,8.4208,0.8798,0.7888,0.7764,0.7764,italian_poetree,kn,2000,79,w30
150,0.672,0.6752,0.6752,1.539,6.3905,1.0067,0.9157,0.9095,0.9095,italian_poetree,kn,2000,58,w30
0,0.9644,0.9646,0.9647,0.4022,10.4592,0.4045,0.2891,0.2802,0.2798,norwegian_poetree,kn,288,129,w10
1200,0.9476,0.9473,0.9472,0.4695,11.4371,0.4793,0.3699,0.3757,0.3752,norwegian_poetree,kn,288,34,w10
600,0.9247,0.9233,0.9233,0.5333,7.8103,0.5253,0.4475,0.4576,0.4576,norwegian_poetree,kn,288,19,w10
300,0.8574,0.8652,0.8652,0.7576,6.6278,0.6816,0.6329,0.6125,0.6125,norwegian_poetree,kn,288,12,w10
150,0.8212,0.836,0.836,0.9543,5.551,0.7925,0.6901,0.6623,0.6623,norwegian_poetree,kn,288,9,w10
0,0.9652,0.9662,0.9661,0.3997,10.1939,0.3997,0.2812,0.2753,0.2755,norwegian_poetree,kn,288,117,w20
1200,0.9451,0.9441,0.9442,0.4773,11.9047,0.4888,0.3816,0.3816,0.3806,norwegian_poetree,kn,288,32,w20
600,0.9201,0.9203,0.9203,0.5504,7.9432,0.5362,0.4674,0.4659,0.4659,norwegian_poetree,kn,288,18,w20
300,0.8545,0.8637,0.8637,0.7799,6.7821,0.6929,0.6362,0.6146,0.6146,norwegian_poetree,kn,288,12,w20
150,0.7928,0.8146,0.8146,1.0743,6.4131,0.8619,0.7495,0.7076,0.7076,norwegian_poetree,kn,288,8,w20
0,0.9686,0.9699,0.9697,0.3684,9.2413,0.3725,0.2661,0.2648,0.2649,norwegian_poetree,kn,288,115,w30
1200,0.9511,0.9495,0.9494,0.4385,10.5501,0.4518,0.3528,0.3616,0.3616,norwegian_poetree,kn,288,31,w30
600,0.9264,0.9253,0.9253,0.5254,7.652,0.5156,0.4578,0.4523,0.4523,norwegian_poetree,kn,288,18,w30
300,0.8626,0.8675,0.8675,0.7634,6.6467,0.6885,0.6027,0.5987,0.5987,norwegian_poetree,kn,288,12,w30
150,0.7983,0.8176,0.8176,1.0551,6.2601,0.8554,0.7252,0.7043,0.7043,norwegian_poetree,kn,288,8,w30
0,0.9361,0.9369,0.9372,0.9431,11.9666,0.4983,0.4073,0.415,0.4121,polish_dracor,kn,368,183,w10
1200,0.8691,0.8709,0.8709,1.3695,16.921,0.7271,0.5879,0.5785,0.5785,polish_dracor,kn,368,44,w10
600,0.832,0.8352,0.8352,1.1975,9.3631,0.7522,0.6848,0.6798,0.6798,polish_dracor,kn,368,25,w10
